モノ,単語,原形,品詞,依存関係,親
デジタルカメラ,作る,作る,VERB,ROOT,作る
デジタルカメラ,写真,写真,NOUN,obl,作る
デジタルカメラ,で,で,ADP,case,写真
デジタルカメラ,影絵,影絵,NOUN,obj,作る
デジタルカメラ,を,を,ADP,case,影絵
デジタルカメラ,作る,作る,VERB,ROOT,作る
デジタルカメラ,シャッター,シャッター,NOUN,obj,切る
デジタルカメラ,を,を,ADP,case,シャッター
デジタルカメラ,切る,切る,VERB,ROOT,切る
デジタルカメラ,レンズ,レンズ,NOUN,compound,キャップ
デジタルカメラ,キャップ,キャップ,NOUN,obj,外す
デジタルカメラ,を,を,ADP,case,キャップ
デジタルカメラ,外す,外す,VERB,ROOT,外す
デジタルカメラ,設定,設定,NOUN,obj,変更
デジタルカメラ,を,を,ADP,case,設定
デジタルカメラ,変更,変更,VERB,ROOT,変更
デジタルカメラ,する,する,AUX,aux,変更
デジタルカメラ,カメラ,カメラ,NOUN,obj,構える
デジタルカメラ,を,を,ADP,case,カメラ
デジタルカメラ,構える,構える,VERB,ROOT,構える
デジタルカメラ,ピント,ピント,NOUN,obj,合わせる
デジタルカメラ,を,を,ADP,case,ピント
デジタルカメラ,合わせる,合わせる,VERB,ROOT,合わせる
デジタルカメラ,絞り,絞り,NOUN,obj,調整
デジタルカメラ,を,を,ADP,case,絞り
デジタルカメラ,調整,調整,VERB,ROOT,調整
デジタルカメラ,する,する,AUX,aux,調整
デジタルカメラ,シャッター,シャッター,NOUN,compound,スピード
デジタルカメラ,スピード,スピード,NOUN,obj,設定
デジタルカメラ,を,を,ADP,case,スピード
デジタルカメラ,設定,設定,VERB,ROOT,設定
デジタルカメラ,する,する,AUX,aux,設定
デジタルカメラ,カメラ,カメラ,NOUN,obj,しまう
デジタルカメラ,を,を,ADP,case,カメラ
デジタルカメラ,しまう,しまう,VERB,ROOT,しまう
デジタルカメラ,カメラ,カメラ,NOUN,obj,取る
デジタルカメラ,を,を,ADP,case,カメラ
デジタルカメラ,手,手,NOUN,obl,取る
デジタルカメラ,に,に,ADP,case,手
デジタルカメラ,取る,取る,VERB,ROOT,取る
デジタルカメラ,シャッター,シャッター,NOUN,obj,押す
デジタルカメラ,を,を,ADP,case,シャッター
デジタルカメラ,押す,押す,VERB,ROOT,押す
デジタルカメラ,メモリー,メモリー,NOUN,compound,カード
デジタルカメラ,カード,カード,NOUN,obj,交換
デジタルカメラ,を,を,ADP,case,カード
デジタルカメラ,交換,交換,VERB,ROOT,交換
デジタルカメラ,する,する,AUX,aux,交換
デジタルカメラ,カメラ,カメラ,NOUN,obj,手入れ
デジタルカメラ,を,を,ADP,case,カメラ
デジタルカメラ,手入れ,手入れ,VERB,ROOT,手入れ
デジタルカメラ,する,する,AUX,aux,手入れ
デジタルカメラ,レンズ,レンズ,NOUN,obj,クリーニング
デジタルカメラ,を,を,ADP,case,レンズ
デジタルカメラ,クリーニング,クリーニング,VERB,ROOT,クリーニング
デジタルカメラ,する,する,AUX,aux,クリーニング
デジタルカメラ,バッテリー,バッテリー,NOUN,obj,充電
デジタルカメラ,を,を,ADP,case,バッテリー
デジタルカメラ,充電,充電,VERB,ROOT,充電
デジタルカメラ,する,する,AUX,aux,充電
デジタルカメラ,カメラ,カメラ,NOUN,obj,リセット
デジタルカメラ,を,を,ADP,case,カメラ
デジタルカメラ,リセット,リセット,VERB,ROOT,リセット
デジタルカメラ,する,する,AUX,aux,リセット
デジタルカメラ,カメラ,カメラ,NOUN,nmod,設定
デジタルカメラ,の,の,ADP,case,カメラ
デジタルカメラ,設定,設定,NOUN,obj,変更
デジタルカメラ,を,を,ADP,case,設定
デジタルカメラ,変更,変更,VERB,ROOT,変更
デジタルカメラ,する,する,AUX,aux,変更
デジタルカメラ,電源,電源,NOUN,obj,入れる
デジタルカメラ,を,を,ADP,case,電源
デジタルカメラ,入れる,入れる,VERB,ROOT,入れる
デジタルカメラ,シャッター,シャッター,NOUN,compound,音
デジタルカメラ,音,音,NOUN,obj,楽しむ
デジタルカメラ,を,を,ADP,case,音
デジタルカメラ,楽しむ,楽しむ,VERB,ROOT,楽しむ
デジタルカメラ,カメラ,カメラ,NOUN,obj,持ち歩く
デジタルカメラ,を,を,ADP,case,カメラ
デジタルカメラ,持ち歩く,持ち歩く,VERB,ROOT,持ち歩く
デジタルカメラ,レンズフード,レンズフード,PROPN,obj,使う
デジタルカメラ,を,を,ADP,case,レンズフード
デジタルカメラ,使う,使う,VERB,ROOT,使う
デジタルカメラ,メモリー,メモリー,NOUN,compound,カード
デジタルカメラ,カード,カード,NOUN,nsubj,壊れる
デジタルカメラ,が,が,ADP,case,カード
デジタルカメラ,壊れる,壊れる,VERB,ROOT,壊れる
デジタルカメラ,バッテリー,バッテリー,NOUN,nsubj,切れる
デジタルカメラ,が,が,ADP,case,バッテリー
デジタルカメラ,切れる,切れる,VERB,ROOT,切れる
デジタルカメラ,レンズ,レンズ,NOUN,nsubj,汚れる
デジタルカメラ,が,が,ADP,case,レンズ
デジタルカメラ,汚れる,汚れる,VERB,ROOT,汚れる
デジタルカメラ,写真,写真,NOUN,nsubj,ブレる
デジタルカメラ,が,が,ADP,case,写真
デジタルカメラ,ブレる,ブレる,VERB,ROOT,ブレる
デジタルカメラ,シャッター,シャッター,NOUN,compound,スピード
デジタルカメラ,スピード,スピード,NOUN,obj,間違える
デジタルカメラ,を,を,ADP,case,スピード
デジタルカメラ,間違える,間違える,VERB,ROOT,間違える
デジタルカメラ,絞り,絞り,NOUN,obj,設定
デジタルカメラ,を,を,ADP,case,絞り
デジタルカメラ,設定,設定,VERB,ROOT,設定
デジタルカメラ,し,する,AUX,aux,設定
デジタルカメラ,忘れる,忘れる,VERB,advcl,設定
デジタルカメラ,ピント,ピント,NOUN,nsubj,合わ
デジタルカメラ,が,が,ADP,case,ピント
デジタルカメラ,合わ,合う,VERB,ROOT,合わ
デジタルカメラ,ない,ない,AUX,aux,合わ
デジタルカメラ,カメラ,カメラ,NOUN,nsubj,落ちる
デジタルカメラ,が,が,ADP,case,カメラ
デジタルカメラ,落ちる,落ちる,VERB,ROOT,落ちる
デジタルカメラ,レンズ,レンズ,NOUN,nsubj,割れる
デジタルカメラ,が,が,ADP,case,レンズ
デジタルカメラ,割れる,割れる,ADJ,ROOT,割れる
デジタルカメラ,写真,写真,NOUN,nsubj,保存
デジタルカメラ,が,が,ADP,case,写真
デジタルカメラ,保存,保存,VERB,ROOT,保存
デジタルカメラ,さ,する,AUX,aux,保存
デジタルカメラ,れ,れる,AUX,aux,保存
デジタルカメラ,ない,ない,AUX,aux,保存
デジタルカメラ,フラッシュ,フラッシュ,NOUN,nsubj,使え
デジタルカメラ,が,が,ADP,case,フラッシュ
デジタルカメラ,使え,使える,VERB,ROOT,使え
デジタルカメラ,ない,ない,AUX,aux,使え
デジタルカメラ,カメラ,カメラ,NOUN,nsubj,故障
デジタルカメラ,が,が,ADP,case,カメラ
デジタルカメラ,故障,故障,VERB,ROOT,故障
デジタルカメラ,する,する,AUX,aux,故障
デジタルカメラ,設定,設定,NOUN,obj,リセット
デジタルカメラ,を,を,ADP,case,設定
デジタルカメラ,リセット,リセット,VERB,ROOT,リセット
デジタルカメラ,する,する,AUX,aux,リセット
デジタルカメラ,カメラ,カメラ,NOUN,nsubj,なる
デジタルカメラ,が,が,ADP,case,カメラ
デジタルカメラ,熱く,熱い,ADJ,advcl,なる
デジタルカメラ,なる,なる,VERB,ROOT,なる
デジタルカメラ,メモリー,メモリー,NOUN,compound,カード
デジタルカメラ,カード,カード,NOUN,nsubj,読み取れ
デジタルカメラ,が,が,ADP,case,カード
デジタルカメラ,読み取れ,読み取れる,PROPN,dep,ない
デジタルカメラ,ない,ない,ADJ,ROOT,ない
デジタルカメラ,バッテリー,バッテリー,NOUN,nsubj,外れる
デジタルカメラ,が,が,ADP,case,バッテリー
デジタルカメラ,外れる,外れる,VERB,ROOT,外れる
デジタルカメラ,カメラ,カメラ,NOUN,nmod,動作
デジタルカメラ,の,の,ADP,case,カメラ
デジタルカメラ,動作,動作,NOUN,nsubj,なる
デジタルカメラ,が,が,ADP,case,動作
デジタルカメラ,遅く,遅い,ADJ,advcl,なる
デジタルカメラ,なる,なる,VERB,ROOT,なる
デジタルカメラ,カメラ,カメラ,NOUN,nsubj,濡れる
デジタルカメラ,が,が,ADP,case,カメラ
デジタルカメラ,水,水,NOUN,obl,濡れる
デジタルカメラ,に,に,ADP,case,水
デジタルカメラ,濡れる,濡れる,VERB,ROOT,濡れる
デジタルカメラ,カメラ,カメラ,NOUN,nsubj,動か
デジタルカメラ,が,が,ADP,case,カメラ
デジタルカメラ,動か,動く,VERB,ROOT,動か
デジタルカメラ,ない,ない,AUX,aux,動か
デジタルカメラ,レンズ,レンズ,NOUN,nsubj,曇る
デジタルカメラ,が,が,ADP,case,レンズ
デジタルカメラ,曇る,曇る,VERB,ROOT,曇る
デジタルカメラ,デジタルカメラ,デジタルカメラ,PROPN,obj,貸す
デジタルカメラ,を,を,ADP,case,デジタルカメラ
デジタルカメラ,貸す,貸す,VERB,ROOT,貸す
デジタルカメラ,デジタルカメラ,デジタルカメラ,PROPN,obj,借りる
デジタルカメラ,を,を,ADP,case,デジタルカメラ
デジタルカメラ,借りる,借りる,VERB,ROOT,借りる
デジタルカメラ,デジタルカメラ,デジタルカメラ,PROPN,obj,共有
デジタルカメラ,を,を,ADP,case,デジタルカメラ
デジタルカメラ,共有,共有,VERB,ROOT,共有
デジタルカメラ,する,する,AUX,aux,共有
デジタルカメラ,デジタルカメラ,デジタルカメラ,PROPN,obl,話す
デジタルカメラ,に,に,ADP,case,デジタルカメラ
デジタルカメラ,つい,つく,VERB,fixed,に
デジタルカメラ,て,て,SCONJ,fixed,に
デジタルカメラ,話す,話す,VERB,ROOT,話す
デジタルカメラ,デジタルカメラ,デジタルカメラ,PROPN,obj,推薦
デジタルカメラ,を,を,ADP,case,デジタルカメラ
デジタルカメラ,推薦,推薦,VERB,ROOT,推薦
デジタルカメラ,する,する,AUX,aux,推薦
デジタルカメラ,デジタルカメラ,デジタルカメラ,PROPN,obj,贈る
デジタルカメラ,を,を,ADP,case,デジタルカメラ
デジタルカメラ,贈る,贈る,VERB,ROOT,贈る
デジタルカメラ,デジタルカメラ,デジタルカメラ,NOUN,obj,返す
デジタルカメラ,を,を,ADP,case,デジタルカメラ
デジタルカメラ,返す,返す,VERB,ROOT,返す
デジタルカメラ,一緒,一緒,NOUN,obl,使う
デジタルカメラ,に,に,ADP,case,一緒
デジタルカメラ,デジタルカメラ,デジタルカメラ,PROPN,obj,使う
デジタルカメラ,を,を,ADP,case,デジタルカメラ
デジタルカメラ,使う,使う,VERB,ROOT,使う
デジタルカメラ,写真,写真,NOUN,obj,共有
デジタルカメラ,を,を,ADP,case,写真
デジタルカメラ,共有,共有,VERB,ROOT,共有
デジタルカメラ,する,する,AUX,aux,共有
デジタルカメラ,デジタルカメラ,デジタルカメラ,PROPN,nmod,使い方
デジタルカメラ,の,の,ADP,case,デジタルカメラ
デジタルカメラ,使い方,使い方,NOUN,obj,教える
デジタルカメラ,を,を,ADP,case,使い方
デジタルカメラ,教える,教える,VERB,ROOT,教える
デジタルカメラ,撮影,撮影,NOUN,compound,結果
デジタルカメラ,結果,結果,NOUN,nmod,感想
デジタルカメラ,の,の,ADP,case,結果
デジタルカメラ,感想,感想,NOUN,obj,交換
デジタルカメラ,を,を,ADP,case,感想
デジタルカメラ,交換,交換,VERB,ROOT,交換
デジタルカメラ,する,する,AUX,aux,交換
デジタルカメラ,デジタルカメラ,デジタルカメラ,PROPN,obj,見せる
デジタルカメラ,を,を,ADP,case,デジタルカメラ
デジタルカメラ,見せる,見せる,VERB,ROOT,見せる
デジタルカメラ,デジタルカメラ,デジタルカメラ,PROPN,obj,取り合う
デジタルカメラ,を,を,ADP,case,デジタルカメラ
デジタルカメラ,取り合う,取り合う,VERB,ROOT,取り合う
デジタルカメラ,デジタルカメラ,デジタルカメラ,PROPN,obl,議論
デジタルカメラ,に,に,ADP,case,デジタルカメラ
デジタルカメラ,つい,つく,VERB,fixed,に
デジタルカメラ,て,て,SCONJ,fixed,に
デジタルカメラ,議論,議論,VERB,ROOT,議論
デジタルカメラ,する,する,AUX,aux,議論
デジタルカメラ,デジタルカメラ,デジタルカメラ,PROPN,obj,使う
デジタルカメラ,を,を,ADP,case,デジタルカメラ
デジタルカメラ,使う,使う,VERB,acl,時間
デジタルカメラ,時間,時間,NOUN,obj,作る
デジタルカメラ,を,を,ADP,case,時間
デジタルカメラ,作る,作る,VERB,ROOT,作る
デジタルカメラ,デジタルカメラ,デジタルカメラ,PROPN,obj,プレゼント
デジタルカメラ,を,を,ADP,case,デジタルカメラ
デジタルカメラ,プレゼント,プレゼント,VERB,ROOT,プレゼント
デジタルカメラ,する,する,AUX,aux,プレゼント
デジタルカメラ,デジタルカメラ,デジタルカメラ,PROPN,obj,交換
デジタルカメラ,を,を,ADP,case,デジタルカメラ
デジタルカメラ,交換,交換,VERB,ROOT,交換
デジタルカメラ,する,する,AUX,aux,交換
デジタルカメラ,デジタルカメラ,デジタルカメラ,NOUN,obj,置き
デジタルカメラ,を,を,ADP,case,デジタルカメラ
デジタルカメラ,置き,置く,VERB,ROOT,置き
デジタルカメラ,忘れる,忘れる,VERB,advcl,置き
デジタルカメラ,デジタルカメラ,デジタルカメラ,PROPN,obj,探し
デジタルカメラ,を,を,ADP,case,デジタルカメラ
デジタルカメラ,探し,探す,VERB,ROOT,探し
デジタルカメラ,合う,合う,VERB,advcl,探し
デジタルカメラ,デジタルカメラ,デジタルカメラ,PROPN,obj,手渡す
デジタルカメラ,を,を,ADP,case,デジタルカメラ
デジタルカメラ,手渡す,手渡す,VERB,ROOT,手渡す
湯煎,鍋,鍋,NOUN,obl,入れる
湯煎,に,に,ADP,case,鍋
湯煎,水,水,NOUN,obj,入れる
湯煎,を,を,ADP,case,水
湯煎,入れる,入れる,VERB,ROOT,入れる
湯煎,鍋,鍋,NOUN,obj,かける
湯煎,を,を,ADP,case,鍋
湯煎,火,火,NOUN,obl,かける
湯煎,に,に,ADP,case,火
湯煎,かける,かける,VERB,ROOT,かける
湯煎,ボウル,ボウル,NOUN,obj,用意
湯煎,を,を,ADP,case,ボウル
湯煎,用意,用意,VERB,ROOT,用意
湯煎,する,する,AUX,aux,用意
湯煎,材料,材料,NOUN,obj,入れる
湯煎,を,を,ADP,case,材料
湯煎,ボウル,ボウル,NOUN,obl,入れる
湯煎,に,に,ADP,case,ボウル
湯煎,入れる,入れる,VERB,ROOT,入れる
湯煎,鍋,鍋,NOUN,obl,乗せる
湯煎,に,に,ADP,case,鍋
湯煎,ボウル,ボウル,NOUN,obj,乗せる
湯煎,を,を,ADP,case,ボウル
湯煎,乗せる,乗せる,VERB,ROOT,乗せる
湯煎,湯煎,湯煎,NOUN,obl,溶かす
湯煎,で,で,ADP,case,湯煎
湯煎,溶かす,溶かす,ADJ,ROOT,溶かす
湯煎,ヘラ,ヘラ,NOUN,obl,混ぜる
湯煎,で,で,ADP,case,ヘラ
湯煎,混ぜる,混ぜる,VERB,ROOT,混ぜる
湯煎,温度,温度,NOUN,obj,測る
湯煎,を,を,ADP,case,温度
湯煎,測る,測る,VERB,ROOT,測る
湯煎,火加減,火加減,NOUN,obj,調整
湯煎,を,を,ADP,case,火加減
湯煎,調整,調整,VERB,ROOT,調整
湯煎,する,する,AUX,aux,調整
湯煎,ボウル,ボウル,NOUN,obj,取り出す
湯煎,を,を,ADP,case,ボウル
湯煎,取り出す,取り出す,VERB,ROOT,取り出す
湯煎,鍋,鍋,NOUN,obl,止める
湯煎,から,から,ADP,case,鍋
湯煎,火,火,NOUN,obj,止める
湯煎,を,を,ADP,case,火
湯煎,止める,止める,VERB,ROOT,止める
湯煎,溶け,溶ける,VERB,acl,材料
湯煎,た,た,AUX,aux,溶け
湯煎,材料,材料,NOUN,obj,移す
湯煎,を,を,ADP,case,材料
湯煎,容器,容器,NOUN,obl,移す
湯煎,に,に,ADP,case,容器
湯煎,移す,移す,VERB,ROOT,移す
湯煎,ボウル,ボウル,NOUN,obj,洗う
湯煎,を,を,ADP,case,ボウル
湯煎,洗う,洗う,VERB,ROOT,洗う
湯煎,鍋,鍋,NOUN,obj,片付ける
湯煎,を,を,ADP,case,鍋
湯煎,片付ける,片付ける,VERB,ROOT,片付ける
湯煎,レシピ,レシピ,NOUN,obj,確認
湯煎,を,を,ADP,case,レシピ
湯煎,確認,確認,VERB,ROOT,確認
湯煎,する,する,AUX,aux,確認
湯煎,作業,作業,NOUN,compound,台
湯煎,台,台,NOUN,obj,掃除
湯煎,を,を,ADP,case,台
湯煎,掃除,掃除,VERB,ROOT,掃除
湯煎,する,する,AUX,aux,掃除
湯煎,再度,再度,ADV,advmod,湯煎
湯煎,湯煎,湯煎,VERB,ROOT,湯煎
湯煎,する,する,AUX,aux,湯煎
湯煎,湯煎,湯煎,VERB,advcl,する
湯煎,し,する,AUX,aux,湯煎
湯煎,ながら,ながら,SCONJ,mark,湯煎
湯煎,他,他,NOUN,nmod,作業
湯煎,の,の,ADP,case,他
湯煎,作業,作業,NOUN,obj,する
湯煎,を,を,ADP,case,作業
湯煎,する,する,VERB,ROOT,する
湯煎,時間,時間,NOUN,obj,計る
湯煎,を,を,ADP,case,時間
湯煎,計る,計る,VERB,ROOT,計る
湯煎,安全,安全,NOUN,obj,確認
湯煎,を,を,ADP,case,安全
湯煎,確認,確認,VERB,ROOT,確認
湯煎,する,する,AUX,aux,確認
湯煎,温度計,温度計,NOUN,obj,使う
湯煎,を,を,ADP,case,温度計
湯煎,使う,使う,VERB,ROOT,使う
湯煎,ヘラ,ヘラ,NOUN,obl,かき混ぜる
湯煎,で,で,ADP,case,ヘラ
湯煎,かき混ぜる,かき混ぜる,VERB,ROOT,かき混ぜる
湯煎,タイマー,タイマー,NOUN,obj,セット
湯煎,を,を,ADP,case,タイマー
湯煎,セット,セット,VERB,ROOT,セット
湯煎,する,する,AUX,aux,セット
湯煎,レシピ,レシピ,NOUN,compound,本
湯煎,本,本,NOUN,obj,読む
湯煎,を,を,ADP,case,本
湯煎,読む,読む,VERB,ROOT,読む
湯煎,鍋つかみ,鍋つかみ,NOUN,obj,使う
湯煎,を,を,ADP,case,鍋つかみ
湯煎,使う,使う,VERB,ROOT,使う
湯煎,スパチュラ,スパチュラ,NOUN,obj,使う
湯煎,を,を,ADP,case,スパチュラ
湯煎,使う,使う,VERB,ROOT,使う
湯煎,他,他,NOUN,nmod,材料
湯煎,の,の,ADP,case,他
湯煎,材料,材料,NOUN,obj,準備
湯煎,を,を,ADP,case,材料
湯煎,準備,準備,VERB,ROOT,準備
湯煎,する,する,AUX,aux,準備
湯煎,コンロ,コンロ,NOUN,obj,使う
湯煎,を,を,ADP,case,コンロ
湯煎,使う,使う,VERB,ROOT,使う
湯煎,キッチン,キッチン,NOUN,compound,スケール
湯煎,スケール,スケール,NOUN,obl,計量
湯煎,で,で,ADP,case,スケール
湯煎,計量,計量,VERB,ROOT,計量
湯煎,する,する,AUX,aux,計量
湯煎,ミキサー,ミキサー,NOUN,obl,混ぜる
湯煎,で,で,ADP,case,ミキサー
湯煎,混ぜる,混ぜる,VERB,ROOT,混ぜる
湯煎,冷蔵庫,冷蔵庫,NOUN,obl,冷やす
湯煎,で,で,ADP,case,冷蔵庫
湯煎,冷やす,冷やす,VERB,ROOT,冷やす
湯煎,オーブン,オーブン,NOUN,obl,加熱
湯煎,で,で,ADP,case,オーブン
湯煎,加熱,加熱,VERB,ROOT,加熱
湯煎,する,する,AUX,aux,加熱
湯煎,ラップ,ラップ,NOUN,obj,使う
湯煎,を,を,ADP,case,ラップ
湯煎,使う,使う,VERB,ROOT,使う
湯煎,鍋敷き,鍋敷き,NOUN,obj,使う
湯煎,を,を,ADP,case,鍋敷き
湯煎,使う,使う,VERB,ROOT,使う
湯煎,トング,トング,NOUN,obj,使う
湯煎,を,を,ADP,case,トング
湯煎,使う,使う,VERB,ROOT,使う
湯煎,鍋蓋,鍋蓋,NOUN,obj,使う
湯煎,を,を,ADP,case,鍋蓋
湯煎,使う,使う,VERB,ROOT,使う
湯煎,ザル,ザル,NOUN,obl,こす
湯煎,で,で,ADP,case,ザル
湯煎,こす,こす,ADJ,ROOT,こす
湯煎,泡立て器,泡立て器,NOUN,obj,使う
湯煎,を,を,ADP,case,泡立て器
湯煎,使う,使う,VERB,ROOT,使う
湯煎,ボウル,ボウル,NOUN,obj,温める
湯煎,を,を,ADP,case,ボウル
湯煎,温める,温める,VERB,ROOT,温める
湯煎,鍋,鍋,NOUN,nmod,位置
湯煎,の,の,ADP,case,鍋
湯煎,位置,位置,NOUN,obj,調整
湯煎,を,を,ADP,case,位置
湯煎,調整,調整,VERB,ROOT,調整
湯煎,する,する,AUX,aux,調整
湯煎,湯煎,湯煎,NOUN,obl,溶かす
湯煎,で,で,ADP,case,湯煎
湯煎,石鹸,石鹸,NOUN,obj,溶かす
湯煎,を,を,ADP,case,石鹸
湯煎,溶かす,溶かす,VERB,ROOT,溶かす
湯煎,湯煎,湯煎,NOUN,obl,作る
湯煎,で,で,ADP,case,湯煎
湯煎,キャンドル,キャンドル,NOUN,obj,作る
湯煎,を,を,ADP,case,キャンドル
湯煎,作る,作る,VERB,ROOT,作る
湯煎,湯煎,湯煎,NOUN,obl,溶かす
湯煎,で,で,ADP,case,湯煎
湯煎,クレヨン,クレヨン,NOUN,obj,溶かす
湯煎,を,を,ADP,case,クレヨン
湯煎,溶かす,溶かす,VERB,ROOT,溶かす
湯煎,湯煎,湯煎,NOUN,obl,する
湯煎,で,で,ADP,case,湯煎
湯煎,工作,工作,NOUN,obj,する
湯煎,を,を,ADP,case,工作
湯煎,する,する,VERB,ROOT,する
湯煎,湯煎,湯煎,NOUN,obl,溶かす
湯煎,で,で,ADP,case,湯煎
湯煎,絵の具,絵の具,NOUN,obj,溶かす
湯煎,を,を,ADP,case,絵の具
湯煎,溶かす,溶かす,VERB,ROOT,溶かす
湯煎,湯煎,湯煎,NOUN,obl,溶かす
湯煎,で,で,ADP,case,湯煎
湯煎,古い,古い,ADJ,acl,化粧品
湯煎,化粧品,化粧品,NOUN,obj,溶かす
湯煎,を,を,ADP,case,化粧品
湯煎,溶かす,溶かす,VERB,ROOT,溶かす
湯煎,湯煎,湯煎,NOUN,obl,作る
湯煎,で,で,ADP,case,湯煎
湯煎,おもちゃ,おもちゃ,NOUN,obj,作る
湯煎,を,を,ADP,case,おもちゃ
湯煎,作る,作る,VERB,ROOT,作る
湯煎,湯煎,湯煎,NOUN,obl,再利用
湯煎,で,で,ADP,case,湯煎
湯煎,クレヨン,クレヨン,NOUN,obj,再利用
湯煎,を,を,ADP,case,クレヨン
湯煎,再利用,再利用,NOUN,ROOT,再利用
湯煎,する,する,AUX,aux,再利用
湯煎,湯煎,湯煎,NOUN,obl,染める
湯煎,で,で,ADP,case,湯煎
湯煎,紙,紙,NOUN,obj,染める
湯煎,を,を,ADP,case,紙
湯煎,染める,染める,VERB,ROOT,染める
湯煎,湯煎,湯煎,NOUN,obl,する
湯煎,で,で,ADP,case,湯煎
湯煎,粘土,粘土,NOUN,obj,する
湯煎,を,を,ADP,case,粘土
湯煎,柔らかく,柔らかい,ADJ,advcl,する
湯煎,する,する,VERB,ROOT,する
湯煎,湯煎,湯煎,NOUN,obl,成形
湯煎,で,で,ADP,case,湯煎
湯煎,石鹸,石鹸,NOUN,obj,成形
湯煎,を,を,ADP,case,石鹸
湯煎,再,再,NOUN,compound,成形
湯煎,成形,成形,VERB,ROOT,成形
湯煎,する,する,AUX,aux,成形
湯煎,湯煎,湯煎,NOUN,obl,溶かす
湯煎,で,で,ADP,case,湯煎
湯煎,蝋,蝋,NOUN,obj,溶かす
湯煎,を,を,ADP,case,蝋
湯煎,溶かす,溶かす,VERB,ROOT,溶かす
湯煎,湯煎,湯煎,NOUN,obl,溶かす
湯煎,で,で,ADP,case,湯煎
湯煎,蜜蝋,蜜蝋,NOUN,obj,溶かす
湯煎,を,を,ADP,case,蜜蝋
湯煎,溶かす,溶かす,VERB,ROOT,溶かす
湯煎,湯煎,湯煎,NOUN,obl,作る
湯煎,で,で,ADP,case,湯煎
湯煎,化粧品,化粧品,NOUN,obj,作る
湯煎,を,を,ADP,case,化粧品
湯煎,作る,作る,VERB,ROOT,作る
湯煎,湯煎,湯煎,NOUN,obl,作る
湯煎,で,で,ADP,case,湯煎
湯煎,アロマ,アロマ,NOUN,compound,キャンドル
湯煎,キャンドル,キャンドル,NOUN,obj,作る
湯煎,を,を,ADP,case,キャンドル
湯煎,作る,作る,VERB,ROOT,作る
湯煎,湯煎,湯煎,NOUN,obl,溶かし
湯煎,で,で,ADP,case,湯煎
湯煎,チョコレート,チョコレート,NOUN,obj,溶かし
湯煎,を,を,ADP,case,チョコレート
湯煎,溶かし,溶かす,VERB,advcl,入れる
湯煎,て,て,SCONJ,mark,溶かし
湯煎,型,型,NOUN,obl,入れる
湯煎,に,に,ADP,case,型
湯煎,入れる,入れる,VERB,ROOT,入れる
湯煎,湯煎,湯煎,NOUN,obl,する
湯煎,で,で,ADP,case,湯煎
湯煎,クッキー,クッキー,NOUN,nmod,デコレーション
湯煎,の,の,ADP,case,クッキー
湯煎,デコレーション,デコレーション,NOUN,obj,する
湯煎,を,を,ADP,case,デコレーション
湯煎,する,する,VERB,ROOT,する
湯煎,湯煎,湯煎,NOUN,obl,作る
湯煎,で,で,ADP,case,湯煎
湯煎,アイスクリーム,アイスクリーム,NOUN,obj,作る
湯煎,を,を,ADP,case,アイスクリーム
湯煎,作る,作る,VERB,ROOT,作る
湯煎,湯煎,湯煎,NOUN,obl,する
湯煎,で,で,ADP,case,湯煎
湯煎,お菓子,お菓子,NOUN,compound,作り
湯煎,作り,作り,NOUN,obj,する
湯煎,を,を,ADP,case,作り
湯煎,する,する,VERB,ROOT,する
湯煎,湯煎,湯煎,NOUN,obl,作る
湯煎,で,で,ADP,case,湯煎
湯煎,キャンドル,キャンドル,NOUN,compound,ホルダー
湯煎,ホルダー,ホルダー,NOUN,obj,作る
湯煎,を,を,ADP,case,ホルダー
湯煎,作る,作る,VERB,ROOT,作る
湯煎,鍋,鍋,NOUN,nmod,水
湯煎,の,の,ADP,case,鍋
湯煎,水,水,NOUN,obj,確認
湯煎,を,を,ADP,case,水
湯煎,確認,確認,VERB,ROOT,確認
湯煎,する,する,AUX,aux,確認
湯煎,火,火,NOUN,obj,つける
湯煎,を,を,ADP,case,火
湯煎,つける,つける,VERB,ROOT,つける
湯煎,材料,材料,NOUN,obj,入れる
湯煎,を,を,ADP,case,材料
湯煎,入れる,入れる,VERB,ROOT,入れる
湯煎,混ぜる,混ぜる,VERB,ROOT,混ぜる
湯煎,温度,温度,NOUN,obj,測る
湯煎,を,を,ADP,case,温度
湯煎,測る,測る,VERB,ROOT,測る
湯煎,鍋,鍋,NOUN,obj,覗き込む
湯煎,を,を,ADP,case,鍋
湯煎,覗き込む,覗き込む,VERB,ROOT,覗き込む
湯煎,ボウル,ボウル,NOUN,obj,調整
湯煎,を,を,ADP,case,ボウル
湯煎,調整,調整,VERB,ROOT,調整
湯煎,する,する,AUX,aux,調整
湯煎,火加減,火加減,NOUN,obj,調整
湯煎,を,を,ADP,case,火加減
湯煎,調整,調整,VERB,ROOT,調整
湯煎,する,する,AUX,aux,調整
湯煎,ボウル,ボウル,NOUN,obj,取り出す
湯煎,を,を,ADP,case,ボウル
湯煎,取り出す,取り出す,VERB,ROOT,取り出す
湯煎,鍋,鍋,NOUN,obl,止める
湯煎,から,から,ADP,case,鍋
湯煎,火,火,NOUN,obj,止める
湯煎,を,を,ADP,case,火
湯煎,止める,止める,VERB,ROOT,止める
